pregunta,categoria,dificultad,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,correctas
"El paso de los 7 pasos que define ""Los Como"" (documentar, medir y mejorar los procesos) es:",Modulo 1: Fundamentos Estrategicos,Media,Metodologias de Gestion por Procesos (Paso 4),Politica de Procesos (Paso 2),Herramientas de Calidad (Paso 5),Cultura y Gestion del Cambio (Paso 6),,A
"¿Que ""lente"" o problema ataca el Paso 1 (Vision, Mision y Objetivos)?",Modulo 1: Fundamentos Estrategicos,Dificil,La desconexion estrategica,La improvisacion metodologica,La ambiguedad organizacional,El castigo,,A
"En los 7 pasos, la Auditoria Interna (Paso 7) se asocia con:",Modulo 1: Fundamentos Estrategicos,Facil,El Orden,El Motor,Los Que,Los Medios,,A
¿Cuantas dimensiones tiene el Diagnostico de Madurez BPM del programa?,Modulo 1: Fundamentos Estrategicos,Facil,10 dimensiones,7 dimensiones,5 dimensiones,24 dimensiones,,A
"El Diagnostico de Madurez BPM se compone de 10 dimensiones, 3 subdimensiones y 3 preguntas cada una. ¿Cuantas preguntas suma en total?",Modulo 1: Fundamentos Estrategicos,Media,90 preguntas,30 preguntas,45 preguntas,100 preguntas,,A
"En la escala de madurez BPM, el Nivel 1 se denomina:",Modulo 1: Fundamentos Estrategicos,Media,"Inicial: procesos ad hoc, reactivos, sin documentacion",Optimizado: innovacion sistematica,Gestionado: KPIs activos y control estadistico,Definido: procesos estandarizados,,A
"En la escala de madurez BPM, el nivel mas alto (Nivel 5, 81-100%) se denomina:",Modulo 1: Fundamentos Estrategicos,Media,Optimizado,Definido,Repetible,Institucional,,A
"Segun Treacy & Wiersema (1995), las empresas lideres de mercado:",Modulo 1: Fundamentos Estrategicos,Media,Dominan UNA sola disciplina de valor y se mantienen competitivas en las otras dos,Intentan ser las mejores en todas las dimensiones a la vez,No definen ninguna disciplina de valor,Cambian de disciplina de valor cada ano,,A
¿Cuales son las tres disciplinas de valor de Treacy & Wiersema?,Modulo 1: Fundamentos Estrategicos,Media,"Excelencia Operacional, Liderazgo en Producto e Intimidad con el Cliente","Costos, Calidad y Tiempo","Estrategia, Procesos y Tecnologia","Vision, Mision y Valores",,A
"La disciplina de valor ""Excelencia Operacional"" se asocia con empresas como:",Modulo 1: Fundamentos Estrategicos,Media,Walmart y Amazon,Apple y Tesla,Ritz-Carlton y Nordstrom,McKinsey y PwC,,A
La formula para construir Mision y Vision propuesta en el programa es:,Modulo 1: Fundamentos Estrategicos,Dificil,Verbo en infinitivo + Empresa + Estrategia de Negocio + Lugar Geografico + Pilar 1 + Pilar 2 + Pilar 3,Empresa + Ano + Numero de empleados + Utilidad esperada,Cliente + Producto + Precio + Plaza + Promocion,Fortalezas + Oportunidades + Debilidades + Amenazas,,A
El FODA Cuantitativo Estrategico del programa evalua con:,Modulo 1: Fundamentos Estrategicos,Media,"6 preguntas por categoria (F/O/D/A) con escala Likert 1-5, es decir 24 evaluaciones",Una lista libre de ideas sin escala de medicion,Solo dos categorias: fortalezas y debilidades,100 preguntas de opcion multiple,,A
"Segun ISO 9000, ¿cual es el Principio 1 de los 7 principios de gestion de calidad?",Modulo 2: Politica de Procesos,Facil,Enfoque al cliente,Liderazgo,Enfoque a procesos,Mejora,,A
¿Cuantos principios de gestion de calidad establece la norma ISO 9000?,Modulo 2: Politica de Procesos,Facil,7 principios,5 principios,10 principios,4 principios,,A
"Para W. Edwards Deming, la calidad se entiende principalmente como:",Modulo 2: Politica de Procesos,Media,"Reducir la variabilidad para predecir resultados; calidad es consistencia",Aptitud para el uso definida por el cliente,Conformidad con los requisitos,Control total que involucra solo al area de produccion,,A
"La definicion de calidad como ""conformidad con los requisitos"" y la idea de que ""la calidad es gratis"" corresponden a:",Modulo 2: Politica de Procesos,Media,Philip Crosby,Joseph Juran,Armand Feigenbaum,W. Edwards Deming,,A
Joseph Juran define la calidad como:,Modulo 2: Politica de Procesos,Media,Aptitud para el uso: el cliente decide si el producto o servicio es adecuado,Reduccion de la variabilidad del proceso,Conformidad con los requisitos especificados,El grado de automatizacion del proceso,,A
Todas las definiciones de calidad del modulo convergen en que la calidad:,Modulo 2: Politica de Procesos,Media,"Se disena en los procesos, no se inspecciona al final",Se logra inspeccionando el producto terminado,Depende exclusivamente del area comercial,Es responsabilidad unica del departamento de calidad,,A
¿Cuales son las cuatro fases del ciclo de mejora continua PDCA?,Modulo 2: Politica de Procesos,Facil,"Planificar, Hacer, Verificar y Actuar","Definir, Medir, Analizar y Mejorar","Proveer, Diagnosticar, Corregir y Auditar","Planear, Documentar, Comunicar y Archivar",,A
"En la triada Cliente + Calidad + Mejora Continua, el enfoque al cliente define:",Modulo 2: Politica de Procesos,Media,QUE tiene valor,COMO se entrega,CUANDO mejorar,QUIEN audita,,A
"En la triada Cliente + Calidad + Mejora Continua, la mejora continua define:",Modulo 2: Politica de Procesos,Media,"CUANDO mejorar: siempre, cada dia",QUE tiene valor,COMO se entrega,CUANTO cuesta,,A
"Una politica de procesos, segun el modulo, se describe esencialmente como:",Modulo 2: Politica de Procesos,Media,La brujula que orienta como opera la organizacion,Un documento burocratico para pasar auditorias,Un manual tecnico de software,Un contrato laboral con los empleados,,A
El Modelo de Tres Lineas de Defensa adaptado a la gestion por procesos proviene de:,Modulo 2: Politica de Procesos,Media,"El IIA (Institute of Internal Auditors), 2020",La norma ISO 31000,McKinsey & Company,Treacy & Wiersema,,A
"En el Modelo de Tres Lineas de Defensa, la 1a linea corresponde a:",Modulo 2: Politica de Procesos,Media,La gestion operativa: propietarios de proceso y equipos operativos,"Calidad, Mejora Continua y Gestion de Riesgos",La Auditoria Interna,El Directorio,,A
"En el Modelo de Tres Lineas de Defensa, la 3a linea (aseguramiento independiente) corresponde a:",Modulo 2: Politica de Procesos,Media,La Auditoria Interna,Los propietarios de proceso,El area de Calidad,El area Comercial,,A
"En el Modelo de Tres Lineas de Defensa, ¿que area conforma la 2a linea?",Modulo 2: Politica de Procesos,Media,"Calidad, Mejora Continua y Gestion de Riesgos",Los equipos operativos de la primera linea,La Auditoria Interna,El comite de accionistas,,A
"Segun el modulo, ¿cual de los siguientes es un criterio para considerar que un proceso esta ""gestionado""?",Modulo 2: Politica de Procesos,Media,Tiene metricas de desempeno que se monitorean periodicamente,Lo ejecuta el area de mayor antiguedad,No tiene documentacion para evitar burocracia,Depende de un unico champion sin reemplazo,,A
"En la medicion de procesos por perspectivas, la perspectiva de Cliente se mide con indicadores como:",Modulo 2: Politica de Procesos,Dificil,"NPS, CSAT, tiempo de respuesta y cumplimiento de SLAs",Tiempo de ciclo y costo por transaccion,Tasa de defectos (DPMO) y reprocesos,Eventos de riesgo y perdidas,,A
"En la medicion de procesos, la perspectiva de Eficiencia se mide tipicamente con:",Modulo 2: Politica de Procesos,Dificil,"Tiempo de ciclo, costo por transaccion y volumen",NPS y CSAT,Eventos de riesgo y severidad,Cantidad de auditorias realizadas,,A
"Segun el modulo, en la mejora continua los quick wins se abordan con ciclos PDCA y los proyectos complejos con:",Modulo 2: Politica de Procesos,Media,La metodologia DMAIC,Una auditoria externa,El modelo de tres lineas,La norma ISO 9000,,A
¿Cuales son los tres tipos de auditoria de procesos descritos en el modulo?,Modulo 2: Politica de Procesos,Dificil,"Auditoria de cumplimiento, auditoria de proceso (walkthrough) y auditoria de eficacia","Auditoria financiera, fiscal y laboral","Auditoria inicial, intermedia y final","Auditoria de marca, de producto y de mercado",,A
¿Cual de las siguientes es una senal de alerta de una politica de procesos que fracasa?,Modulo 2: Politica de Procesos,Media,Esta desconectada de la estrategia y se lanza sin recursos ni seguimiento,Se conecta con los objetivos de negocio y tiene presupuesto asignado,Cuenta con patrocinio visible del liderazgo,Se prueba primero con un piloto en procesos core,,A
"Segun el modulo, una recomendacion clave para implementar la politica de procesos es:",Modulo 2: Politica de Procesos,Media,Empezar con un problema real y probar con un piloto antes de extenderla a toda la organizacion,Implementarla simultaneamente en todas las areas el primer dia,Mantenerla en secreto para evitar resistencia,Evitar medir resultados para no generar presion,,A
"Segun el modulo de Gobernanza, ¿que porcentaje de las transformaciones organizacionales fracasa?",Modulo 3: Gobernanza,Facil,70%,40%,90%,25%,,A
¿Cual es una causa de fracaso de las transformaciones por falta de gobernanza formal?,Modulo 3: Gobernanza,Media,"El sistema depende de un champion individual y cuando se va, todo cae",Existe un organo de decision institucional con autoridad real,Hay seguimiento disciplinado de cada proyecto aprobado,La alta direccion preside el comite,,A
El Paso 3 (Gobernanza y Comite) se describe como el puente entre:,Modulo 3: Gobernanza,Media,La estrategia (pasos 1-2) y la ejecucion (pasos 4-7),El cliente y el proveedor,La auditoria y la contabilidad,El marketing y las ventas,,A
La gobernanza define principalmente:,Modulo 3: Gobernanza,Media,"QUIEN decide, COMO se da seguimiento y CON QUE autoridad",QUE producto vender y a que precio,CUANTOS empleados contratar,DONDE ubicar las oficinas,,A
"Una de las 7 caracteristicas de un comite que funciona es ""Datos, no opiniones"". Esto significa que el comite:",Modulo 3: Gobernanza,Media,"Presenta metricas concretas (valor, meta, tendencia) en lugar de percepciones subjetivas",Solo se reune cuando hay una crisis,Evita documentar sus decisiones,Delega todas las decisiones al champion,,A
"En la estructura de dos niveles de gobernanza, el Comite Estrategico:",Modulo 3: Gobernanza,Media,"Toma decisiones estrategicas, aprueba presupuesto y reporta al Directorio; se reune trimestralmente",Hace seguimiento operativo mensual de KPIs,Solo se ocupa de tareas administrativas,Es presidido por un analista junior,,A
"En la estructura de dos niveles de gobernanza, el Comite Tactico:",Modulo 3: Gobernanza,Media,"Hace seguimiento operativo de KPIs y avances; se reune mensualmente y lo preside el Gerente de Calidad y Procesos",Aprueba el presupuesto anual y reporta al Directorio,Se reune solo una vez al ano,Esta compuesto unicamente por auditores externos,,A
¿Cuantos niveles de madurez en gobernanza describe el modulo?,Modulo 3: Gobernanza,Media,"5 niveles: No formal, Informal, Formal, Institucional y Cultural","3 niveles: Bajo, Medio y Alto","7 niveles, uno por cada paso","10 niveles, uno por dimension",,A
"El nivel mas alto de madurez en gobernanza (""Cultural"") se caracteriza porque:",Modulo 3: Gobernanza,Media,"La organizacion ya no necesita el comite para funcionar; todos piensan en procesos",El CEO decide todo de forma ad-hoc,No existen metricas ni documentacion,El comite se reune de forma ocasional sin agenda,,A
¿Cual es una senal de alerta de que la gobernanza falla?,Modulo 3: Gobernanza,Media,El comite se reune pero nada cambia y nadie escala los bloqueos,Las decisiones se implementan y se les da seguimiento,La organizacion sabe que el comite existe y decide,La agenda separa lo operativo de lo estrategico,,A
El Reglamento del Comite descrito en el modulo se compone de:,Modulo 3: Gobernanza,Media,19 secciones que convierten la politica en accion,"7 secciones, una por cada paso",3 secciones unicamente,"90 secciones, una por pregunta de diagnostico",,A
"Segun la Seccion 4 del reglamento, las funciones del comite se agrupan en tres categorias:",Modulo 3: Gobernanza,Dificil,"Estrategicas, de Seguimiento y Control, y de Mejora Continua","Financieras, legales y comerciales","De marketing, ventas y posventa","De diseno, produccion y entrega",,A
"En el reglamento del comite, ¿que regla de quorum se establece?",Modulo 3: Gobernanza,Dificil,La mitad mas uno de los integrantes para sesionar y mayoria absoluta para decidir,La totalidad de los integrantes para cualquier decision,Un solo integrante puede sesionar y decidir,No se requiere quorum,,A
"En la conformacion del comite, el Lider de Auditoria Interna participa:",Modulo 3: Gobernanza,Media,Solo con voz (sin voto),Con voz y voto dirimente,Como presidente del comite,No participa en el comite,,A
"Uno de los 4 indicadores de gestion del comite es la Tasa de Cumplimiento de Compromisos, cuya meta es:",Modulo 3: Gobernanza,Dificil,Mayor o igual a 85%,Mayor o igual a 50%,Exactamente 100%,Menor a 30%,,A
La Tasa de Implementacion de Decisiones del comite tiene como meta:,Modulo 3: Gobernanza,Dificil,Mayor o igual a 90%,Mayor o igual a 60%,Mayor o igual a 40%,Sin meta definida,,A
"Segun el modulo, sobre la relacion entre gobernanza y champions:",Modulo 3: Gobernanza,Media,"Los heroes son utiles al inicio, pero si el sistema sigue dependiendo de una persona anos despues, no hay gobernanza",El sistema siempre debe depender de un unico champion,Los champions deben evitarse por completo desde el inicio,La gobernanza reemplaza la necesidad de liderazgo,,A
La conexion Politica - Reglamento - Formato indica que el Reglamento (Paso 3):,Modulo 3: Gobernanza,Dificil,"Define el QUIEN, el COMO y CON QUE autoridad",Define el QUE y el POR QUE,Define solo el presupuesto anual,Define unicamente los KPIs de cada proceso,,A
"En una empresa pequena (50-200 personas), la gobernanza se aplica con:",Modulo 3: Gobernanza,Media,Un comite simplificado de pocas personas que se reune con mayor frecuencia y de forma agil,Exactamente la misma estructura de 19 secciones que una empresa de 5000 personas,Sin ningun organo de decision,Un comite de mas de 20 integrantes,,A
"La idea ""lo que se mide y se reporta en un organo de decision, se gestiona de verdad"" se adapta de:",Modulo 3: Gobernanza,Media,Peter Drucker,Sam Walton,Steve Jobs,Elon Musk,,A
"En la conexion entre los pasos, la Metodologia de Procesos (Paso 4) define:",Modulo 4: Metodologias,Media,"El COMO: reglas, estructura y componentes","El QUE: compromiso, alcance y lineamientos","El CON QUE: formatos, software y plantillas",El CUANTO: presupuesto y costos,,A
"Segun el modulo, la metodologia se describe metaforicamente como:",Modulo 4: Metodologias,Media,El sistema nervioso que conecta la politica con las herramientas,Un archivo historico de la organizacion,Un contrato con el cliente,Una campana de marketing,,A
¿Que es el Mapa de Procesos?,Modulo 4: Metodologias,Facil,La representacion grafica de todos los procesos de la organizacion y sus interrelaciones,Un listado del personal por departamento,El organigrama de la empresa,Un cronograma de proyectos,,A
"En el Mapa de Procesos, ¿como se clasifican los procesos?",Modulo 4: Metodologias,Media,"Estrategicos, de Valor (core) y de Soporte","Internos, externos y mixtos","Manuales, automaticos e hibridos","Cortos, medianos y largos",,A
¿Cual de los siguientes es un ejemplo de proceso de SOPORTE en el mapa de procesos?,Modulo 4: Metodologias,Media,"Talento Humano, TI o Finanzas",Planificacion Estrategica,Produccion del producto core,Gestion de Innovacion,,A
"¿Cual es el orden correcto de la jerarquia de procesos, de lo macro a lo micro?",Modulo 4: Metodologias,Media,"Macroproceso, Proceso, Subproceso, Actividad/Tarea","Actividad, Subproceso, Proceso, Macroproceso","Proceso, Macroproceso, Tarea, Subproceso","Tarea, Proceso, Macroproceso, Subproceso",,A
¿Cuales son los 6 componentes que documentan y controlan cada proceso?,Modulo 4: Metodologias,Dificil,"Caracterizacion, SIPOC, Flujograma, Procedimiento, Riesgos Operativos y KPIs","Vision, Mision, Valores, Politica, Objetivos y Auditoria","Entrada, Proceso, Salida, Cliente, Proveedor y Control","Plan, Hacer, Verificar, Actuar, Medir y Reportar",,A
La Caracterizacion de un proceso se describe como:,Modulo 4: Metodologias,Media,"La ficha de identidad del proceso (objetivo, alcance, dueno, entradas, salidas, normativa)",El diagrama visual paso a paso del proceso,La matriz de riesgos del proceso,El tablero de indicadores del proceso,,A
¿Que significan las siglas SIPOC?,Modulo 4: Metodologias,Media,"Suppliers, Inputs, Process, Outputs, Customers","Strategy, Inputs, Policy, Operations, Control","System, Information, Process, Output, Customer","Standard, Inspection, Process, Outcome, Quality",,A
El analisis SIPOC es una herramienta originaria de:,Modulo 4: Metodologias,Media,Six Sigma,ISO 31000,Balanced Scorecard,EFQM,,A
¿Cual es el estandar internacional para diagramar procesos mencionado en el modulo?,Modulo 4: Metodologias,Facil,BPMN 2.0,HTML 5,ISO 9000,UML 1.0,,A
"En la notacion BPMN 2.0, el simbolo de Gateway o decision se representa con:",Modulo 4: Metodologias,Dificil,Un rombo o diamante,Un circulo de linea delgada,Un rectangulo redondeado,Una flecha punteada,,A
"En BPMN 2.0, el Evento de Inicio se representa con:",Modulo 4: Metodologias,Dificil,Un circulo de linea delgada,Un circulo de linea gruesa,Un rombo,Un rectangulo redondeado con un signo mas,,A
"En BPMN 2.0, una Tarea (actividad ejecutada por un rol) se representa con:",Modulo 4: Metodologias,Dificil,Un rectangulo redondeado,Un rombo,Un doble circulo,Una flecha continua,,A
El Procedimiento documentado responde fundamentalmente a la pregunta:,Modulo 4: Metodologias,Media,"¿Quien hace que, cuando, como y con que evidencia?",¿Cuanto cuesta el producto final?,¿Quienes son los accionistas de la empresa?,¿Que opina el cliente del precio?,,A
"En la matriz de Probabilidad x Impacto, un riesgo de nivel ""Critico"" requiere:",Modulo 4: Metodologias,Media,Escalar el riesgo,Simplemente aceptarlo,Ignorarlo hasta la proxima auditoria,Eliminar el proceso por completo,,A
"En la matriz de riesgo, un riesgo evaluado como ""Bajo"" generalmente se trata mediante la accion de:",Modulo 4: Metodologias,Media,Aceptar,Escalar de inmediato,Mitigar con accion urgente,Detener la operacion,,A
¿Cuales son las tres dimensiones en que se categorizan los KPIs segun el modulo?,Modulo 4: Metodologias,Media,"Eficacia, Eficiencia y Calidad","Costo, Tiempo y Alcance","Cliente, Proveedor y Regulador","Vision, Mision y Valores",,A
Un KPI de Eficacia responde a la pregunta:,Modulo 4: Metodologias,Media,¿Se logro el resultado esperado?,¿Se optimizaron los recursos?,¿Se cumplio el estandar de calidad?,¿Quien es el dueno del proceso?,,A
"En el flujo de documentacion de un proceso, ¿por que componente se debe comenzar siempre?",Modulo 4: Metodologias,Media,"Por la Caracterizacion, la ficha madre que conecta a los demas componentes",Por los KPIs,Por la matriz de riesgos,Por el flujograma,,A
La norma de referencia para la gestion de riesgos mencionada en el modulo de metodologias es:,Modulo 4: Metodologias,Media,ISO 31000:2018,ISO 9001:2015,BPMN 2.0,ISO 27001,,A
Los Recorridos de Procesos descritos en el modulo son:,Modulo 4: Metodologias,Media,Evaluaciones in situ donde Calidad verifica que el proceso se ejecuta segun la documentacion,Reuniones del directorio para aprobar presupuesto,Campanas de comunicacion interna,Encuestas anonimas a los clientes externos,,A
"Segun el Modulo 5, la eficacia de un sistema de gestion depende de:",Modulo 5: Herramientas,Facil,La eficiencia de las herramientas que se utilizan,El numero de empleados de la organizacion,La cantidad de reuniones que se realizan,El tamano del presupuesto de marketing,,A
"Segun el modulo, ¿que porcentaje del tiempo de los equipos se pierde buscando informacion en formatos dispersos?",Modulo 5: Herramientas,Media,70%,20%,45%,90%,,A
El modulo indica que las iniciativas de mejora fracasan en un 45% por:,Modulo 5: Herramientas,Media,Falta de seguimiento sistematico,Exceso de presupuesto,Demasiada capacitacion del personal,Tener demasiados clientes,,A
"En la conexion de las tres capas del sistema, la Herramienta define:",Modulo 5: Herramientas,Media,"El DONDE: plataforma, ejecucion y trazabilidad",El QUE: compromiso y alcance,El COMO: pasos y estandares,El CUANTO: presupuesto,,A
¿Cual de las siguientes es una caracteristica que debe tener una buena herramienta de gestion?,Modulo 5: Herramientas,Media,"Ser integrada, visual, colaborativa, trazable, metodologica y accesible",Ser exclusiva de un solo usuario y sin historial de cambios,Estar instalada solo en una computadora local,Carecer de dashboards para evitar distracciones,,A
"Que una herramienta sea ""trazable"" significa que:",Modulo 5: Herramientas,Media,"Mantiene historial de cambios, versiones y evidencia de gestion",Solo puede usarse desde la oficina,No permite editar la informacion,Funciona sin conexion a internet unicamente,,A
"Segun el modulo, las herramientas inadecuadas no solo afectan los resultados, sino que ademas:",Modulo 5: Herramientas,Media,Destruyen la cultura de procesos y generan resistencia al cambio,Mejoran automaticamente la cultura organizacional,Reducen el numero de errores,No tienen ningun impacto en las personas,,A
"En la comparacion de alternativas, ¿que opcion ofrece integracion completa, colaboracion en tiempo real y notacion BPMN nativa?",Modulo 5: Herramientas,Media,El software especializado,Excel y Word,El correo electronico,Las carpetas compartidas en papel,,A
"Segun el modulo, una desventaja de usar Excel y Word como herramientas de gestion por procesos es:",Modulo 5: Herramientas,Media,No tienen integracion de modulos ni trazabilidad automatica de cambios,Tienen una curva de aprendizaje demasiado alta,Implementan la notacion BPMN de forma nativa,Permiten colaboracion en tiempo real sin limites,,A
La herramienta utilizada en el Business Case del modulo es:,Modulo 5: Herramientas,Facil,Centrik,Microsoft Project,Google Forms,AutoCAD,,A
Centrik se describe en el modulo como:,Modulo 5: Herramientas,Media,"Un software SaaS de Gestion por Procesos, Riesgos y Continuidad del Negocio",Una red social de uso personal,Un sistema contable y de nomina,Un editor de documentos de texto,,A
¿Cuales son los 4 entregables del Business Case del modulo de herramientas?,Modulo 5: Herramientas,Media,"Caracterizacion, SIPOC, Flujograma y 1 KPI","Vision, Mision, Valores y Politica","Plan, Hacer, Verificar y Actuar","Estrategia, Pilares, Ejes y Auditoria",,A
"La frase ""La mejor herramienta es la que la gente quiere usar, no la que esta obligada a usar"" resalta que:",Modulo 5: Herramientas,Media,La adopcion voluntaria es clave para que el sistema de gestion funcione,Las herramientas deben imponerse por obligacion,No importa si la herramienta es facil de usar,Las herramientas son irrelevantes para la cultura,,A
"En el ciclo virtuoso descrito en el modulo, una herramienta integrada y accesible lleva a que:",Modulo 5: Herramientas,Media,"Las areas documenten facilmente y haya datos en tiempo real, fortaleciendo la cultura de procesos",Las areas dejen de documentar sus procesos,La gerencia reduzca la inversion en el sistema,El sistema se abandone progresivamente,,A
¿Cual es uno de los requisitos minimos de una herramienta de gestion de procesos segun el modulo?,Modulo 5: Herramientas,Media,Permitir visualizar el Mapa de Procesos de forma jerarquica,Incluir un modulo de edicion de video,Funcionar exclusivamente sin conexion a internet,Limitar el acceso a un solo usuario,,A
"Segun el modulo de Gestion del Cambio, la cultura de procesos es:",Modulo 6: Gestion del Cambio,Media,"El resultado de gestionar bien la politica, el comite, la metodologia y las herramientas",Un paso mas dentro de los 7 pasos de la gestion por procesos,Un documento que se aprueba al inicio del proyecto,Una herramienta de software para diagramar procesos,,A
"Segun el modulo, los ""dolores"" que viven los gestores de procesos (areas que no apoyan, ven todo como burocracia) son sintoma de:",Modulo 6: Gestion del Cambio,Media,"Un cambio no gestionado, no de personas dificiles",Personas que simplemente no quieren trabajar,Un exceso de presupuesto en el area de calidad,Demasiada tecnologia en la organizacion,,A
El Change Management aplicado a procesos se trabaja en dos dimensiones:,Modulo 6: Gestion del Cambio,Media,Process Change Management y Human Change Management,Marketing Change y Sales Change,Cambio financiero y cambio legal,Cambio interno y cambio externo,,A
¿Que documentan las Fichas KCI (Key Change Indicators)?,Modulo 6: Gestion del Cambio,Dificil,"Cada brecha entre el estado As-Is y el To-Be, su impacto y la estrategia de cierre",El presupuesto anual del area de calidad,La lista de clientes de la organizacion,El organigrama de la empresa,,A
"En el analisis de brechas, los estados As-Is y To-Be representan:",Modulo 6: Gestion del Cambio,Media,El estado actual (como se hace hoy) y el estado deseado (como deberia ser),El estado financiero y el estado legal,El inicio y el fin del ano fiscal,El cliente interno y el cliente externo,,A
"En la Matriz de Impacto vs. Complejidad, los ""Quick Wins"" son las brechas de:",Modulo 6: Gestion del Cambio,Media,Alto impacto y facil solucion: prioridad numero 1,Bajo impacto y solucion compleja: prioridad numero 4,Bajo impacto y facil solucion: prioridad numero 3,Alto impacto y solucion compleja: prioridad numero 2,,A
"En la Matriz de Impacto vs. Complejidad, el cuadrante que conviene evitar es:",Modulo 6: Gestion del Cambio,Dificil,Thankless Tasks: bajo impacto y solucion compleja,Quick Wins: alto impacto y facil solucion,Big Goals: alto impacto y solucion compleja,Fill Ins: bajo impacto y facil solucion,,A
La gestion del cambio en las personas (Human Change Management) requiere principalmente:,Modulo 6: Gestion del Cambio,Media,Identificar Champions y aplicar el modelo ADKAR,Comprar nuevo software para toda la empresa,Aumentar el numero de auditorias sorpresa,Eliminar el comite de procesos,,A
"Segun el modulo, ¿que se debe buscar al elegir un Champion del cambio?",Modulo 6: Gestion del Cambio,Media,"Influencia, actitud abierta al cambio, disponibilidad y capacidad de comunicacion",Que sea la persona con mayor cargo jerarquico,Que sea el experto tecnico mas antiguo del area,Que tenga la menor carga de trabajo posible,,A
¿Que significan las siglas del modelo ADKAR?,Modulo 6: Gestion del Cambio,Dificil,"Awareness, Desire, Knowledge, Ability, Reinforcement","Analizar, Disenar, Knowledge, Auditar, Reportar","Adoptar, Decidir, Konectar, Aprender, Revisar","Alcance, Diseno, Calidad, Accion, Resultado",,A
"En el modelo ADKAR, la fase Awareness (Conciencia) busca que las personas:",Modulo 6: Gestion del Cambio,Media,Entiendan POR QUE es necesario cambiar,Tengan la habilidad practica de ejecutar el cambio,Sostengan el cambio en el tiempo,Aprueben el presupuesto del proyecto,,A
"En el modelo ADKAR, la fase Desire (Deseo) se enfoca en que la persona:",Modulo 6: Gestion del Cambio,Media,"QUIERA participar y apoyar el cambio, no que se sienta obligada",Conozca el detalle tecnico de cada herramienta,Audite el cumplimiento de los demas,Redacte la politica de procesos,,A
"En el modelo ADKAR, la fase Knowledge (Conocimiento) se trabaja con estrategias como:",Modulo 6: Gestion del Cambio,Media,"Talleres practicos, mentorias entre pares y microlearning",Sanciones a quienes no cumplen,Reduccion de presupuesto a las areas,Eliminacion de los indicadores de adopcion,,A
"En el modelo ADKAR, la fase Ability (Habilidad) consiste en lograr que la persona:",Modulo 6: Gestion del Cambio,Media,"PUEDA ejecutar el cambio en la practica, con acompanamiento y practica supervisada",Solo entienda la teoria del cambio,Apruebe formalmente la politica,Audite a las otras areas,,A
